WP_004578669.1	iAF987.Gmet_0043	29.8	114	70	2	341	444	154	267	1.4e-04	45.1
WP_004578670.1	iAF987.Gmet_1914	34.0	106	70	0	2	107	3	108	2.0e-12	70.1
WP_004578684.1	iJN1463.PP_4258	29.5	95	53	2	34	128	146	226	8.0e-04	40.8
WP_004578688.1	iAF987.Gmet_3071	22.5	120	93	0	175	294	79	198	5.7e-07	52.4
WP_004578688.1	iJN1463.PP_0026	26.5	113	83	0	175	287	84	196	2.8e-06	50.1
WP_004578688.1	iSbBS512_1146.SbBS512_E0672	29.5	122	85	1	174	294	84	205	1.1e-05	48.1
WP_004578688.1	iSSON_1240.SSON_0704	29.5	122	85	1	174	294	84	205	1.1e-05	48.1
WP_004578688.1	iML1515.b0752	29.5	122	85	1	174	294	84	205	1.4e-05	47.8
WP_004578688.1	iSDY_1059.SDY_0696	29.5	122	85	1	174	294	84	205	1.4e-05	47.8
WP_004578688.1	iSF_1195.SF0552	29.5	122	85	1	174	294	84	205	1.4e-05	47.8
WP_004578690.1	iJN1463.PP_0026	33.8	272	180	0	19	290	18	289	1.6e-41	167.2
WP_004578690.1	iYL1228.KPN_00756	35.2	261	166	3	31	289	31	290	5.2e-40	162.2
WP_004578690.1	STM_v1_0.STM0758	34.1	273	177	3	19	289	19	290	1.3e-38	157.5
WP_004578690.1	iSF_1195.SF0552	35.2	261	166	3	31	289	31	290	1.7e-38	157.1
WP_004578690.1	iSSON_1240.SSON_0704	35.2	261	166	3	31	289	31	290	2.8e-38	156.4
WP_004578690.1	iSbBS512_1146.SbBS512_E0672	35.2	261	166	3	31	289	31	290	3.7e-38	156.0
WP_004578690.1	iAF987.Gmet_3071	33.5	275	179	3	21	291	15	289	4.8e-38	155.6
WP_004578690.1	iML1515.b0752	34.9	261	167	3	31	289	31	290	6.3e-38	155.2
WP_004578690.1	iSDY_1059.SDY_0696	34.9	261	167	3	31	289	31	290	6.3e-38	155.2
WP_004578693.1	iJN1463.PP_4235	27.7	238	151	8	7	231	159	388	8.1e-12	68.2
WP_007153157.1	iJN1463.PP_0380	95.7	23	1	0	1	23	1	23	3.4e-08	52.8
WP_008169108.1	iJN1463.PP_1240	71.8	234	66	0	1	234	1	234	3.6e-97	351.7
WP_008169108.1	iCN718.ABAYE_RS00840	72.2	234	65	0	1	234	1	234	4.7e-97	351.3
WP_008169108.1	iML1515.b2476	67.9	237	76	0	1	237	1	237	1.9e-93	339.3
WP_008169108.1	iSbBS512_1146.SbBS512_E2848	67.9	237	76	0	1	237	1	237	1.9e-93	339.3
WP_008169108.1	iSF_1195.SF2519	67.9	237	76	0	1	237	1	237	1.9e-93	339.3
WP_008169108.1	iSSON_1240.SSON_2557	67.5	237	77	0	1	237	1	237	4.1e-93	338.2
WP_008169108.1	iSDY_1059.SDY_2664	67.5	237	77	0	1	237	1	237	1.6e-92	336.3
WP_008169108.1	iYL1228.KPN_02810	66.7	237	79	0	1	237	1	237	3.5e-92	335.1
WP_008169108.1	STM_v1_0.STM2487	67.1	237	78	0	1	237	1	237	1.0e-91	333.6
WP_008169108.1	iPC815.YPO3059	65.4	237	82	0	1	237	1	237	2.5e-90	328.9
WP_008169120.1	iYL1228.KPN_00986	27.9	111	67	3	89	187	233	342	2.2e-04	43.1
WP_008169120.1	iAF987.Gmet_1832	25.2	103	75	2	89	189	415	517	3.8e-04	42.4
WP_008169151.1	iJN1463.PP_1031	75.7	489	117	1	1	487	1	489	2.0e-211	732.3
WP_008169151.1	iCN718.ABAYE_RS01355	71.4	489	137	2	1	487	1	488	4.1e-196	681.4
WP_008169179.1	iYL1228.KPN_03426	30.2	116	81	0	92	207	110	225	1.4e-07	53.9
WP_008169179.1	iJN1463.PP_5306	28.9	128	85	2	85	208	184	309	1.4e-07	53.9
WP_008169179.1	iML1515.b3006	29.9	117	82	0	92	208	115	231	1.8e-07	53.5
WP_008169179.1	iSbBS512_1146.SbBS512_E3434	29.9	117	82	0	92	208	115	231	1.8e-07	53.5
WP_008169179.1	iSDY_1059.SDY_3067	29.9	117	82	0	92	208	115	231	1.8e-07	53.5
WP_008169179.1	iSF_1195.SF3051	29.9	117	82	0	92	208	115	231	1.8e-07	53.5
WP_008169179.1	iSSON_1240.SSON_3149	29.9	117	82	0	92	208	115	231	1.8e-07	53.5
WP_008169179.1	iPC815.YPO0682	41.4	70	41	0	110	179	242	311	4.0e-07	52.4
WP_008169179.1	STM_v1_0.STM3159	31.3	99	68	0	110	208	133	231	8.9e-07	51.2
WP_008169251.1	iJN1463.PP_4477	63.8	442	157	2	7	445	5	446	4.5e-157	551.6
WP_008169251.1	iCN718.ABAYE_RS02295	59.7	442	175	2	7	445	5	446	5.9e-149	524.6
WP_008169251.1	iYL1228.KPN_01496	60.0	443	171	4	7	445	5	445	9.1e-142	500.7
WP_008169264.1	iJN1463.PP_4484	50.2	215	107	0	23	237	15	229	7.0e-56	214.5
WP_008169282.1	STM_v1_0.STM2050	37.0	119	75	0	15	133	209	327	1.3e-17	86.7
WP_008169283.1	iJN1463.PP_3745	61.8	479	179	1	5	483	14	488	3.4e-174	608.6
WP_008169283.1	iML1515.b2979	60.5	478	188	1	5	482	14	490	7.8e-171	597.4
WP_008169287.1	iML1515.b4467	59.3	403	162	2	1	402	1	402	2.6e-140	495.7
WP_008169287.1	iJN1463.PP_3747	57.7	402	168	2	1	401	1	401	1.5e-135	479.9
WP_008169293.1	iPC815.YPO3831	45.9	205	111	0	1	205	1	205	8.7e-47	184.1
WP_008169293.1	iML1515.b3824	43.7	206	116	0	1	206	1	206	6.9e-44	174.5
WP_008169293.1	iYL1228.KPN_04320	43.2	206	117	0	1	206	1	206	6.9e-44	174.5
WP_008169293.1	iSbBS512_1146.SbBS512_E4291	43.7	206	116	0	1	206	1	206	6.9e-44	174.5
WP_008169293.1	STM_v1_0.STM3960	43.7	206	116	0	1	206	1	206	1.5e-43	173.3
WP_008169323.1	iEK1008.Rv3116	40.3	77	46	0	52	128	302	378	6.3e-09	57.8
WP_008169323.1	iSynCJ816.SGL_RS18145	33.0	88	57	1	50	137	78	163	8.2e-09	57.4
WP_008169334.1	iML1515.b1679	40.0	130	77	1	20	149	8	136	2.3e-23	105.9
WP_008169334.1	iSbBS512_1146.SbBS512_E1880	39.2	130	78	1	20	149	8	136	5.1e-23	104.8
WP_008169334.1	iSDY_1059.SDY_1910	39.2	130	78	1	20	149	8	136	1.1e-22	103.6
WP_008169334.1	iSSON_1240.SSON_1477	39.2	130	78	1	20	149	8	136	1.1e-22	103.6
WP_008169334.1	iSF_1195.SF1708	39.2	130	78	1	20	149	8	136	3.3e-22	102.1
WP_008169336.1	iYS854.USA300HOU_RS04825	35.0	100	61	1	80	179	6	101	5.9e-15	78.2
WP_008169339.1	iSF_1195.SF1714	45.7	105	57	0	12	116	18	122	5.3e-25	110.9
WP_008169339.1	iML1515.b1684	45.7	105	57	0	12	116	18	122	9.1e-25	110.2
WP_008169339.1	iSSON_1240.SSON_1472	45.7	105	57	0	12	116	18	122	9.1e-25	110.2
WP_008169339.1	iJN1463.PP_0844	43.9	107	60	0	10	116	1	107	5.9e-24	107.5
WP_008169342.1	iSSON_1240.SSON_1475	30.6	386	249	4	39	417	41	414	1.6e-47	187.6
WP_008169342.1	iSF_1195.SF1711	30.6	386	249	4	39	417	41	414	3.6e-47	186.4
WP_008169342.1	iML1515.b1681	29.6	389	249	4	39	417	41	414	1.4e-46	184.5
WP_008169342.1	iSDY_1059.SDY_1912	30.3	386	250	4	39	417	41	414	9.0e-46	181.8
WP_008169344.1	iSSON_1240.SSON_1474	60.7	244	96	0	1	244	1	244	8.8e-81	297.4
WP_008169344.1	iML1515.b1682	60.7	244	96	0	1	244	1	244	2.0e-80	296.2
WP_008169344.1	iSF_1195.SF1712	60.2	244	97	0	1	244	1	244	2.0e-80	296.2
